Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10uF,
"C1101, C401, C507, C901",0402,4,100nF,
"C1102, C1103, C1104, C902, C903, C904",0603,6,1uF,
"C1301, C1501, C1601, C1701, C207, C211, C502, C506, C508, C509",0402,10,10n,
"C201, C203, C204",0805,3,22uF,
C202,0402,1,0.1u,
"C205, C209",0402,2,0.1uF,
"C206, C301, C510, C511, C512, C605",0402,6,100n,
C208,CAPAE1350X1400N,1,1mF,
C210,0402,1,15pF,
"C212, C213, C503, C505, C602, C604",0603,6,1u,
C302,0603,1,0.1u,
"C501, C504",0402,2,10p,
C513,0603,1,4.7u,
C601,0603,1,10u,
"C603, C606",0402,2,220p,
"D201, D202",SODFL4825X110N,2,D,
"D203, D204, D205, D206, D207",0603,5,LED,
"FB601, FB602",0805,2,FerriteBead_Small,
"IC1101, IC901",SOT65P210X110-6N,2,NCS199A2RSQT2G,
IC301,RTW24_2P45X2P45,1,TCA9555RTWR,
"J1001, J701",SAMTEC_FTSH-105-01-F-DV-P-TR,2,FTSH-105-01-F-DV-P-TR,
"J1301, J1501, J1601, J1701, J203, J204",JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,6,Conn_01x02,
J201,Switch-3,1,Interrupteur,
J202,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J301,JST_XH_S8B-XH-A_1x08_P2.50mm_Horizontal,1,Conn_01x08,
"J401, J402",JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,2,Conn_01x06,
J501,PinHeader_2x07_P1.27mm_Vertical_SMD,1,Conn_ST_STDC14,
J601,JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,1,Conn_01x03,
L201,0603,1,4.7uH,
L501,0603,1,39n,
"LED801, LED802, LED803, LED804",5988G10313F,4,RGB,
PS201,SOT95P280X125-5N,1,BU33SD5WG-TR,
Q201,SOT95P237X112-3N,1,SI2365EDS-T1-GE3,
"R101, R102, R103, R104, R1301, R1302, R1501, R1502, R1601, R1602, R1701, R1702, R213, R503, R504, R505, R506",0402,17,10k,
"R1101, R901",0603,2,0.015,
R201,0402,1,20,
R202,0402,1,100m,
"R203, R204, R401, R402, R502",0402,5,100k,
R205,0402,1,16k,
R206,0402,1,40.2k,
R207,0402,1,7.68k,
R208,0402,1,15k,
"R209, R214, R215, R216, R217",0402,5,3.3k,
R210,0402,1,3.6k,
"R211, R212",0402,2,27k,
R501,0402,1,10R,
RV601,Potar,1,R_Potentiometer,
"SW501, SW502, SW503",SW_Push_1P1T_NO_6x6mm_H9.5mm,3,SW_Push,
"U1101, U901",XBM5210,2,ZXBM5210-S,
U201,SOT65P280X100-8N,1,MP1475DJ-LF-P,
U202,IC_BQ25172DSGR,1,BQ25172DSGR,
U301,PQFN80P300X500X100-14N,1,ADXL343,
U501,QFN-48-1EP_7x7mm_P0.5mm_EP5.1x5.1mm,1,STM32G431CBU6,
U601,DFN300X300X80-8N,1,PAM8302AAY,
U801,WSON8_DSD_TEX,1,LP5812ADSDR,
Y501,Crystal_SMD_EuroQuartz_MT-4Pin_3.2x2.5mm,1,16MHz,
